rank,name,version,status,category,artifact_verified,compilation_completed,evidence_scope,sources_checked,source_files_total,remaining,wheel_filename,wheel_sha256,requires_python,evidence
81,virtualenv,21.7.8,incompatible,syntax,True,False,verified_artifact,2,92,90,virtualenv-21.7.8-py3-none-any.whl,3040eb3cbf5d32b10ffd57d167e6a162237ad82ba7d8cf1400a1efed593d85ac,>=3.9,"Verified wheel source fails compilation at virtualenv/__main__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/virtualenv/__main__.py"", line 58
    f""  creator {self.session.creator!s}"",
SyntaxError: expected '=' after '!'
error: Python syntax check failed for '<staging>/wheel/virtualenv/__main__.py' (no source was executed)"
82,hatchling,1.32.0,incompatible,syntax,True,False,verified_artifact,5,67,62,hatchling-1.32.0-py3-none-any.whl,0e17c9c3b9aa7c625acc8d0f5b622f107d5049af9ecf5ada4de1aada5be7cdbc,>=3.10,"Verified wheel source fails compilation at hatchling/bridge/app.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/hatchling/bridge/app.py"", line 110
    def _display(message: str, *, always: bool = False) -> None:
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/hatchling/bridge/app.py' (no source was executed)"
83,pydantic-settings,2.15.0,incompatible,syntax,True,False,verified_artifact,3,22,19,pydantic_settings-2.15.0-py3-none-any.whl,0ba092c291c94baceb5eff768aa0d56400a457585bc0175925a5a5510303da42,>=3.10,"Verified wheel source fails compilation at pydantic_settings/main.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pydantic_settings/main.py"", line 49
    class SettingsConfigDict(ConfigDict, total=False):
SyntaxError: expected ')', got ','
error: Python syntax check failed for '<staging>/wheel/pydantic_settings/main.py' (no source was executed)"
84,tzdata,2026.3,unverified,unverified,True,True,verified_artifact,22,22,0,tzdata-2026.3-py2.py3-none-any.whl,dc096730c87af6cab1b171c9d532be840741ff5d459015e7f6947bd7d7e54931,>=2,"All 22 Python source files compile. Imports, runtime APIs, dependency closure, assets, and behavior were not exercised; this is not a tested compatibility result."
85,wrapt,2.4.0,incompatible,syntax,True,False,verified_artifact,3,13,10,wrapt-2.4.0-py3-none-any.whl,18aabd9301d06026f5900538051773d6f87f65ae02cdc60de482df978513dc0a,>=3.9,"Verified wheel source fails compilation at wrapt/arguments.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/wrapt/arguments.py"", line 19
    annotations: Mapping[str, Any] = {},
SyntaxError: expected a literal, got '{'
error: Python syntax check failed for '<staging>/wheel/wrapt/arguments.py' (no source was executed)"
86,ghapi,2.1.3,incompatible,syntax,True,False,verified_artifact,3,15,12,ghapi-2.1.3-py3-none-any.whl,d4d4f037f488ad7d9ea3f7bbe94601030073ad7fc23da1cbb32d705dc07cc232,>=3.10,"Verified wheel source fails compilation at ghapi/actions.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/ghapi/actions.py"", line 84
    return ""\n"".join(""CONTEXT_"" + o.upper() + "": ${{ toJson("" + o.lower() + "") }}"" for o in contexts)
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/ghapi/actions.py' (no source was executed)"
87,greenlet,3.5.5,incompatible,native_only,False,False,metadata,0,,,greenlet-3.5.5-cp310-cp310-macosx_11_0_universal2.whl,816230f469381ad0a43abc9fa8dda5a699e32fb78958dde32ded93213b70a667,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
88,opentelemetry-api,1.44.0,incompatible,syntax,True,False,verified_artifact,2,30,28,opentelemetry_api-1.44.0-py3-none-any.whl,94b98c893a91b88657eaac1e3ba89618cdb85be6918196705354f34728b2cdef,>=3.10,"Verified wheel source fails compilation at opentelemetry/_logs/_internal/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/_logs/_internal/__init__.py"", line 59
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/opentelemetry/_logs/_internal/__init__.py' (no source was executed)"
89,huggingface-hub,1.30.0,incompatible,syntax,True,False,verified_artifact,1,183,182,huggingface_hub-1.30.0-py3-none-any.whl,96ae0a8e99a234374a6fe43e989ebd21c04640b91ab2927e7e5773ba1131ca59,>=3.10.0,"Verified wheel source fails compilation at huggingface_hub/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/huggingface_hub/__init__.py"", line 1208
    attr_to_modules = {attr: mod for mod, attrs in submod_attrs.items() for attr in attrs}
SyntaxError: expected '}', got 'for'
error: Python syntax check failed for '<staging>/wheel/huggingface_hub/__init__.py' (no source was executed)"
90,opentelemetry-sdk,1.44.0,incompatible,syntax,True,False,verified_artifact,1,61,60,opentelemetry_sdk-1.44.0-py3-none-any.whl,df081c4c6bcfdb1211e3e86140376792643128a25f8d72d1d27675936e7e96ad,>=3.10,"Verified wheel source fails compilation at opentelemetry/sdk/_configuration/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/sdk/_configuration/__init__.py"", line 101
    | type[MetricExporter]
SyntaxError: expected ']', got '|'
error: Python syntax check failed for '<staging>/wheel/opentelemetry/sdk/_configuration/__init__.py' (no source was executed)"
91,pyasn1-modules,0.4.2,incompatible,syntax,True,False,verified_artifact,6,132,126,pyasn1_modules-0.4.2-py3-none-any.whl,29253a9207ce32b64c3ac6600edc75368f98473906e8fd1043bd6b5b1de2c14a,>=3.8,"Verified wheel source fails compilation at pyasn1_modules/rfc1902.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pyasn1_modules/rfc1902.py"", line 91
    subtypeSpec = univ.Integer.subtypeSpec + constraint.ValueRangeConstraint(
SyntaxError: int literal is too large
error: Python syntax check failed for '<staging>/wheel/pyasn1_modules/rfc1902.py' (no source was executed)"
92,tenacity,9.1.4,incompatible,syntax,True,False,verified_artifact,1,12,11,tenacity-9.1.4-py3-none-any.whl,6095a360c919085f28c6527de529e76a06ad89b23659fa881ae0649b867a9d55,>=3.10,"Verified wheel source fails compilation at tenacity/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/tenacity/__init__.py"", line 152
    f""{field}={getattr(self, field)!r}"" for field in self.REPR_FIELDS
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/tenacity/__init__.py' (no source was executed)"
93,google-api-core,2.36.0,incompatible,syntax,True,False,verified_artifact,2,66,64,google_api_core-2.36.0-py3-none-any.whl,e4d0b179260727ea5c42222426d9199285214dbef7bf48f8b16600c7f9a78944,>=3.10,"Verified wheel source fails compilation at google/api_core/_feature_gating_helpers.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/google/api_core/_feature_gating_helpers.py"", line 62
    *, configuration: ClientOptions | dict[str, Any] | None, feature_key: str
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/google/api_core/_feature_gating_helpers.py' (no source was executed)"
94,regex,2026.9.3,incompatible,native_only,False,False,metadata,0,,,regex-2026.9.3-cp310-cp310-macosx_10_9_universal2.whl,6d416ed4058ea38f69884f3db523b0414c0094d262dde63694aa254e32a433e6,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
95,pyarrow,25.0.1,incompatible,native_only,False,False,metadata,0,,,pyarrow-25.0.1-cp310-cp310-macosx_12_0_arm64.whl,0b1edbb2f385a6a65e9711b62ba86ac54a7816a3f8d17bb3e8a5929d65fb2485,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
96,python-multipart,0.0.32,incompatible,syntax,True,False,verified_artifact,7,8,1,python_multipart-0.0.32-py3-none-any.whl,ff6d3f776f16878c894e52e107296ffc890e913c611b1a4ec6c44e2821fe2e23,>=3.10,"Verified wheel source fails compilation at python_multipart/exceptions.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/python_multipart/exceptions.py"", line 10
    def __init__(self, message: str, *, offset: int = -1) -> None:
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/python_multipart/exceptions.py' (no source was executed)"
97,textual,8.2.8,incompatible,syntax,True,False,verified_artifact,1,247,246,textual-8.2.8-py3-none-any.whl,267375fd402dc8d981457212efa71f0e3365fd17bba144ba9bb3ed7563cb374a,">=3.9,<4.0","Verified wheel source fails compilation at textual/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/textual/__init__.py"", line 66
    group: LogGroup = LogGroup.INFO,
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/textual/__init__.py' (no source was executed)"
98,openai,3.8.0,incompatible,syntax,True,False,verified_artifact,1,1568,1567,openai-3.8.0-py3-none-any.whl,514736aa1e4ef1033c1209ad53897392845ccd4f2c4fae6413b2cf5f91c2c926,>=3.10,"Verified wheel source fails compilation at openai/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/openai/__init__.py"", line 306
    class _AzureModuleClient(_ModuleClient, AzureOpenAI):  # type: ignore
SyntaxError: expected ')', got ','
error: Python syntax check failed for '<staging>/wheel/openai/__init__.py' (no source was executed)"
99,grpcio,1.83.1,incompatible,native_only,False,False,metadata,0,,,grpcio-1.83.1-cp310-cp310-linux_armv7l.whl,1fea1ae4795d4790579995a4dd5e20e7494d358e29a340e8368dab9723264328,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
100,soupsieve,2.9.2,incompatible,syntax,True,False,verified_artifact,1,7,6,soupsieve-2.9.2-py3-none-any.whl,8089a26fd974ca7a1f30276d3d8492ab266ab15af581642dfe8aa162e0c1c823,>=3.10,"Verified wheel source fails compilation at soupsieve/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/soupsieve/__init__.py"", line 50
    *,
SyntaxError: *args should be placed before **kwargs
error: Python syntax check failed for '<staging>/wheel/soupsieve/__init__.py' (no source was executed)"
101,beautifulsoup4,4.15.0,incompatible,syntax,True,False,verified_artifact,1,15,14,beautifulsoup4-4.15.0-py3-none-any.whl,d6f88de62e1d4e38ecb1077eb9724cd0eff29d2a08ca16a401e9b9e93f117cf9,>=3.7.0,"Verified wheel source fails compilation at bs4/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/bs4/__init__.py"", line 318
    % (old_name, new_name),
SyntaxError: expected ')', got ''
error: Python syntax check failed for '<staging>/wheel/bs4/__init__.py' (no source was executed)"
102,jiter,0.16.0,incompatible,native_only,False,False,metadata,0,,,jiter-0.16.0-cp310-cp310-macosx_10_12_x86_64.whl,c5fc4f8def331036a7b8e981b4347ebe409981edbc8308a5ea842b8c3614fa6c,>=3.9,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
103,pyparsing,3.3.2,incompatible,syntax,True,False,verified_artifact,1,17,16,pyparsing-3.3.2-py3-none-any.whl,850ba148bd908d7e2411587e247a1e4f0327839c40e2e5e6d05a007ecc69911d,>=3.9,"Verified wheel source fails compilation at pyparsing/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pyparsing/__init__.py"", line 125
    + (
SyntaxError: expected ')', got '+'
error: Python syntax check failed for '<staging>/wheel/pyparsing/__init__.py' (no source was executed)"
104,sqlalchemy,2.0.52,incompatible,syntax,True,False,verified_artifact,3,256,253,sqlalchemy-2.0.52-py3-none-any.whl,3b81b8363a919ce53453591cdb93702e6bd54ade6c4fa2f468fc053baee5ed89,>=3.7,"Verified wheel source fails compilation at sqlalchemy/connectors/aioodbc.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/sqlalchemy/connectors/aioodbc.py"", line 47
    class AsyncAdapt_aioodbc_ss_cursor(
SyntaxError: expected ')', got '@eol'
error: Python syntax check failed for '<staging>/wheel/sqlalchemy/connectors/aioodbc.py' (no source was executed)"
105,distro,1.9.0,incompatible,syntax,True,False,verified_artifact,3,3,0,distro-1.9.0-py3-none-any.whl,7bffd925d65168f85027d8da9af6bddab658135b840670a223589bc0c8ef02b2,>=3.6,"Verified wheel source fails compilation at distro/distro.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/distro/distro.py"", line 869
    or self.lsb_release_attr(""distributor_id"")
SyntaxError: expected ')', got 'or'
error: Python syntax check failed for '<staging>/wheel/distro/distro.py' (no source was executed)"
106,scipy,1.18.1,incompatible,native_only,False,False,metadata,0,,,scipy-1.18.1-cp312-cp312-macosx_10_15_x86_64.whl,457fd7a2a8edeb044ab6ffbc0aa03ff6cd18491356e5e0c834d76ce621b916d1,>=3.12,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
107,colorama,0.4.6,incompatible,syntax,True,False,verified_artifact,3,13,10,colorama-0.4.6-py2.py3-none-any.whl,4f1d9991f5acc0ca119f9d443620b77f9d6b33703e51011c16baf57afb285fc6,"!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*,!=3.4.*,!=3.5.*,!=3.6.*,>=2.7","Verified wheel source fails compilation at colorama/ansitowin32.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/colorama/ansitowin32.py"", line 58
    else:
SyntaxError: expected an expression, got else
error: Python syntax check failed for '<staging>/wheel/colorama/ansitowin32.py' (no source was executed)"
108,tomli,2.4.1,incompatible,syntax,True,False,verified_artifact,2,4,2,tomli-2.4.1-py3-none-any.whl,0d85819802132122da43cb86656f8d1f8c6587d54ae7dcaf30e90533028b49fe,>=3.8,"Verified wheel source fails compilation at tomli/_parser.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/tomli/_parser.py"", line 66
    ""\\b"": ""\u0008"",  # backspace
SyntaxError: invalid escape char
error: Python syntax check failed for '<staging>/wheel/tomli/_parser.py' (no source was executed)"
109,lxml,6.1.3,incompatible,native_only,False,False,metadata,0,,,lxml-6.1.3-cp310-cp310-macosx_10_9_universal2.whl,40bcbd9f94166ffe925811e730607385cec959f42fb1bb7dad83748680465221,>=3.8,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
110,watchfiles,1.2.0,incompatible,native_only,False,False,metadata,0,,,watchfiles-1.2.0-cp310-cp310-macosx_10_12_x86_64.whl,bb68bf4df85abebe5efddc53cf2075520f243a59868d9b3973278b23e76962a9,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
111,opentelemetry-proto,1.44.0,incompatible,syntax,True,False,verified_artifact,3,29,26,opentelemetry_proto-1.44.0-py3-none-any.whl,898b155a0e1557afd867478fb6158e8122a46329ca0bb8dc53cc55e98f017f56,>=3.10,"Verified wheel source fails compilation at opentelemetry/proto/collector/logs/v1/logs_service_pb2.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/proto/collector/logs/v1/logs_service_pb2.py"", line 25
    _globals['DESCRIPTOR']._serialized_options = b'\n(io.opentelemetry.proto.collector.logs.v1B\020LogsServiceProtoP\001Z0go.opentelemetry.io/proto/otlp/collector/logs/v1\252\002%OpenTelemetry.Proto.Collector.Logs.V1'
SyntaxError: invalid escape char
error: Python syntax check failed for '<staging>/wheel/opentelemetry/proto/collector/logs/v1/logs_service_pb2.py' (no source was executed)"
112,psutil,7.2.2,incompatible,native_only,False,False,metadata,0,,,psutil-7.2.2-cp313-cp313t-macosx_10_13_x86_64.whl,2edccc433cbfa046b980b0df0171cd25bcaeb3a68fe9022db0979e7aa74a826b,>=3.6,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
113,shellingham,1.5.4,incompatible,syntax,True,False,verified_artifact,2,7,5,shellingham-1.5.4-py2.py3-none-any.whl,7ecfff8f2fd72616f7481040475a65b2bf8af90a56c89140852d1120324e8686,>=3.7,"Verified wheel source fails compilation at shellingham/_core.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/shellingham/_core.py"", line 3
    | {""csh"", ""tcsh""}  # C.
SyntaxError: expected ')', got '|'
error: Python syntax check failed for '<staging>/wheel/shellingham/_core.py' (no source was executed)"
114,opentelemetry-instrumentation,0.65b0,incompatible,syntax,True,False,verified_artifact,2,18,16,opentelemetry_instrumentation-0.65b0-py3-none-any.whl,ea967a72b9939b5fcfdad572753b4306c59dcb99e3f382d95dae04286805e137,>=3.10,"Verified wheel source fails compilation at opentelemetry/instrumentation/_labeler/_internal/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/instrumentation/_labeler/_internal/__init__.py"", line 63
    and key not in self._attributes
SyntaxError: expected ')', got 'and'
error: Python syntax check failed for '<staging>/wheel/opentelemetry/instrumentation/_labeler/_internal/__init__.py' (no source was executed)"
115,editables,0.6,incompatible,syntax,True,False,verified_artifact,1,2,1,editables-0.6-py3-none-any.whl,d70e4698078a1d033e7786d9c64e5be070d058a67c21417024d38a58ac20aa43,>=3.7,"Verified wheel source fails compilation at editables/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/editables/__init__.py"", line 15
    import importlib.util
SyntaxError: invalid escape char
error: Python syntax check failed for '<staging>/wheel/editables/__init__.py' (no source was executed)"
116,typer,0.27.2,incompatible,syntax,True,False,verified_artifact,4,32,28,typer-0.27.2-py3-none-any.whl,b3a5fc4342d5fc8fda8fc3010b1cf117e9249aab7fae800c2eff62fd3842d97d,>=3.10,"Verified wheel source fails compilation at typer/_click/_compat.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/typer/_click/_compat.py"", line 336
    if any(m in mode for m in [""w"", ""a"", ""x""]):
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/typer/_click/_compat.py' (no source was executed)"
117,requests-oauthlib,2.0.0,incompatible,syntax,True,False,verified_artifact,9,15,6,requests_oauthlib-2.0.0-py2.py3-none-any.whl,7dd8a5c40426b779b0868c404bdef9768deccf22749cde15852df527e6269b36,>=3.4,"Verified wheel source fails compilation at requests_oauthlib/compliance_fixes/plentymarkets.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/requests_oauthlib/compliance_fixes/plentymarkets.py"", line 13
    and r.status_code == 200
SyntaxError: expected ')', got 'and'
error: Python syntax check failed for '<staging>/wheel/requests_oauthlib/compliance_fixes/plentymarkets.py' (no source was executed)"
118,opentelemetry-exporter-otlp-proto-http,1.44.0,incompatible,syntax,True,False,verified_artifact,2,7,5,opentelemetry_exporter_otlp_proto_http-1.44.0-py3-none-any.whl,838592fce774c1c8bb7b9a0a7facbfa82e17be5a8a4e94cef10cb84ae026bae3,>=3.10,"Verified wheel source fails compilation at opentelemetry/exporter/otlp/proto/http/_common/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/exporter/otlp/proto/http/_common/__init__.py"", line 46
    f""entry point 'opentelemetry_otlp_credential_provider'""
SyntaxError: expected ')', got '@fstr-begin'
error: Python syntax check failed for '<staging>/wheel/opentelemetry/exporter/otlp/proto/http/_common/__init__.py' (no source was executed)"
119,proto-plus,1.28.4,incompatible,syntax,True,False,verified_artifact,2,26,24,proto_plus-1.28.4-py3-none-any.whl,4b01341272f8a348db3f003b6143109f83ab43091019d5181b3fcdf500ab32aa,>=3.10,"Verified wheel source fails compilation at proto/_file_info.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/proto/_file_info.py"", line 29
    class _FileInfo(
SyntaxError: expected ')', got '@eol'
error: Python syntax check failed for '<staging>/wheel/proto/_file_info.py' (no source was executed)"
120,openpyxl,3.1.5,incompatible,syntax,True,False,verified_artifact,5,190,185,openpyxl-3.1.5-py2.py3-none-any.whl,5282c12b107bffeef825f4617dc029afaf41d0ea60823bbb665ef3079dc79de2,>=3.8,"Verified wheel source fails compilation at openpyxl/cell/cell.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/openpyxl/cell/cell.py"", line 173
    return u'#N/A'
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/openpyxl/cell/cell.py' (no source was executed)"
121,et-xmlfile,2.0.0,incompatible,syntax,True,False,verified_artifact,2,3,1,et_xmlfile-2.0.0-py3-none-any.whl,7a91720bc756843502c3b7504c77b8fe44217c85c537d85037f0f536151b2caa,>=3.8,"Verified wheel source fails compilation at et_xmlfile/incremental_tree.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/et_xmlfile/incremental_tree.py"", line 62
    *,
SyntaxError: *args should be placed before **kwargs
error: Python syntax check failed for '<staging>/wheel/et_xmlfile/incremental_tree.py' (no source was executed)"
122,mcp,2.1.1,incompatible,syntax,True,False,verified_artifact,3,123,120,mcp-2.1.1-py3-none-any.whl,1c6c31c5d6471c58db76af3af8af67f46d11d01f0a59077d0a308cbdb3d3e915,>=3.10,"Verified wheel source fails compilation at mcp/cli/claude.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/mcp/cli/claude.py"", line 65
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/mcp/cli/claude.py' (no source was executed)"
123,ruff,0.16.6,incompatible,native_only,False,False,metadata,0,,,ruff-0.16.6-py3-none-linux_armv6l.whl,61c368c26bf8e973e5ab14a2772de587bc068ea3f9a277f673380749b4898fb8,>=3.7,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
124,opentelemetry-exporter-otlp-proto-common,1.44.0,incompatible,syntax,True,False,verified_artifact,2,10,8,opentelemetry_exporter_otlp_proto_common-1.44.0-py3-none-any.whl,9a9fe61bba73d802904bc989f1d6b4a7b1ee40f06c40e98d6f85af65aaebb694,>=3.10,"Verified wheel source fails compilation at opentelemetry/exporter/otlp/proto/common/_exporter_metrics.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/opentelemetry/exporter/otlp/proto/common/_exporter_metrics.py"", line 118
    finally:
SyntaxError: finally clause is not supported yet
error: Python syntax check failed for '<staging>/wheel/opentelemetry/exporter/otlp/proto/common/_exporter_metrics.py' (no source was executed)"
125,coverage,7.16.0,incompatible,syntax,True,False,verified_artifact,4,44,40,coverage-7.16.0-py3-none-any.whl,245f7de6d023a5bba375dbec9f2e0869bfa26ac0cc639bbb7b4c814884000b73,>=3.10,"Verified wheel source fails compilation at coverage/bytecode.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/coverage/bytecode.py"", line 20
    *,
SyntaxError: expected '@id', got ','
error: Python syntax check failed for '<staging>/wheel/coverage/bytecode.py' (no source was executed)"
126,exceptiongroup,1.3.1,incompatible,syntax,True,False,verified_artifact,2,6,4,exceptiongroup-1.3.1-py3-none-any.whl,a7a39a3bd276781e98394987d3a5701d0c4edffb633bb7a5144577f82c773598,>=3.7,"Verified wheel source fails compilation at exceptiongroup/_catch.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/exceptiongroup/_catch.py"", line 39
    raise unhandled from exc.__cause__
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/exceptiongroup/_catch.py' (no source was executed)"
127,sglang,0.5.19,incompatible,native_only,False,False,metadata,0,,,sglang-0.5.19-cp310-cp310-manylinux_2_34_aarch64.whl,4e0fd565f2217e0ecd9aebe31135c0663f1060d25a314076f226d88fa0ecaf8e,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
128,oauthlib,3.3.1,incompatible,syntax,True,False,verified_artifact,2,75,73,oauthlib-3.3.1-py3-none-any.whl,88119c938d2b8fb88561af5f6ee0eec8cc8d552b7bb1f712743136eb7523b7a1,>=3.8,"Verified wheel source fails compilation at oauthlib/common.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/oauthlib/common.py"", line 29
    CLIENT_ID_CHARACTER_SET = (r' !""#$%&\'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMN'
SyntaxError: @id contains invalid char
error: Python syntax check failed for '<staging>/wheel/oauthlib/common.py' (no source was executed)"
129,mypy-extensions,1.1.0,incompatible,syntax,True,False,verified_artifact,1,1,0,mypy_extensions-1.1.0-py3-none-any.whl,1be4cccdb0f2482337c4743e60421de3a356cd97508abadd57d47403e94f5505,>=3.8,"Verified wheel source fails compilation at mypy_extensions.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/mypy_extensions.py"", line 122
    def Arg(type=Any, name=None):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/mypy_extensions.py' (no source was executed)"
130,dnspython,2.8.0,incompatible,syntax,True,False,verified_artifact,2,149,147,dnspython-2.8.0-py3-none-any.whl,01d9bbc4a2d76bf0db7c1f729812ded6d912bd318d3b1cf81d30c0f845dbf3af,>=3.10,"Verified wheel source fails compilation at dns/_asyncbackend.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/dns/_asyncbackend.py"", line 17
    async def __aenter__(self):
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/dns/_asyncbackend.py' (no source was executed)"
131,more-itertools,11.1.0,incompatible,syntax,True,False,verified_artifact,2,3,1,more_itertools-11.1.0-py3-none-any.whl,4b65538ae22f6fed0ce4874efd317463a7489796a0939fa66824dd542125a192,>=3.10,"Verified wheel source fails compilation at more_itertools/more.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/more_itertools/more.py"", line 246
    def first(iterable, default=_marker):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/more_itertools/more.py' (no source was executed)"
132,wcwidth,0.8.3,incompatible,syntax,True,False,verified_artifact,2,47,45,wcwidth-0.8.3-py3-none-any.whl,d5b73dba6158a595ec9370350e7f2637bcac8d6c5e4fde34f30fcffb6103a5e4,>=3.8,"Verified wheel source fails compilation at wcwidth/_clip.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/wcwidth/_clip.py"", line 67
    if prefix := _sgr_state_to_sequence(captured_style):
SyntaxError: expected an expression, got =
error: Python syntax check failed for '<staging>/wheel/wcwidth/_clip.py' (no source was executed)"
